Day Index,Pageviews
2013-01-31,7326481.311111324
2013-02-28,12739672.443410894
2013-03-31,16175538.219668547
2013-04-30,18402500.766646236
2013-05-31,34687778.929948986
2013-06-30,27922080.75502835
2013-07-31,35162829.18727983
2013-08-31,34501835.73139069
2013-09-30,56094132.88391721
2013-10-31,65313361.353782944
2013-11-30,120879236.32990071
2013-12-31,107806226.28541552
2014-01-31,79910752.22004654
2014-02-28,78567702.87246504
2014-03-31,83291818.99857491
2014-04-30,76594101.90555197
2014-05-31,69399118.07436155
2014-06-30,78316724.49405798
2014-07-31,54367917.669835545
2014-08-31,78131153.67075868
2014-09-30,69070912.88647233
2014-10-31,67865177.7113189
2014-11-30,41623436.175002925
2014-12-31,43472445.47256747
2015-01-31,39067478.49535583
2015-02-28,38104133.51571311
2015-03-31,34806992.48209537
2015-04-30,27010527.126792256
